Unnamed: 0,Subject,Date Posted,Posted By (OP),Text (OP) ,Reply 1,Reply 2,Reply 3,Reply 3 Date,Conversation Duration,Total Number of Replies,MajoritySentiment,PolarityScores,PersonalScores,CompoundSentimentScore,OPSentiment,Reply1Sentiment,Reply2Sentiment,Reply3Sentiment,OPPersonal,Reply1Personal,Reply2Personal,Reply3Personal,QuestionLength
10,thinking about a pump: practical questions,03-08-2022,thatguy,"I've been a LADA for 3 years now. Getting dx'd with Type 2 three years ago set in motion a new hobby of running. I'm a pretty active person, and relatively in shape. I've had an increasingly difficult time with my blood sugar levels. If I go up a unit for my background insulin (lantus), I wake up in the AM very low- sometimes the CGM- Freestyle Libre- which I know is not perfect- seems to indicate I've ""been below 40*"" for up to 3 hours. Not ideal. If I go down 1 unit, my blood sugar seems to want to be 200-250 all day, regardless of how much short acting/ Lispro I take.",Are you LADA or Type 2? That might make a difference for insurance paying for a pump.,Finding out after you wake up that your BG was in the 40's over night is not good. Im on the Dexcom G6 and I can program alarms into it for low BG. It will and has waken me due to low BG.,I've been wearing a pump on and off for over 20 years and have been running up against some of the same questions you've posted. All valid and not small. I literally LOATH a pump with tubing in the summer.,03-09-2022,1,16,Negative,"{'neg': 0.096, 'neu': 0.862, 'pos': 0.043, 'compound': -0.8767}",0.017077798861480076,-0.8767,-0.4151,0.0,-0.7721,0.0,0.024263431542461005,0.0,0.0053475935828877,0.014634146341463415,1054
11,Sweating and keeping infusion set on for 3 days,08/25/2020,Kgeraghty21,I’m new to pumping and having a terrible time keeping my infusion sets from falling off I’m a mailman and work 10-12 hours a day and then workout 3-4 nights after. I use the quickset and after injecting it use skin tac in the winter no issues but since summer started sets barely lasting a day and a half any recommendations and wisdom would be greatly appreciated,Wow I know that is frustrating. I don’t have issues with it - I don’t use any supplemental tape either though. Sometimes the quickset pulls away at the edges up to the plastic molding but never goes further unless I accidentally tug at it. I do trim down any hair at the infusion site but not sure if that helps anything anyways.,"Yes, I found a way to make it stick better. Clean the area very well first, then apply some rubbing alcohol and apply the inset before it completely dries. It seems to make the glue stick better. But when very active and sweaty I have used a high quality tape to cover the edges of the inset."," I put tape over my infusion sets, they stay on much better that way.",08/28/2020,3,18,Positive,"{'neg': 0.068, 'neu': 0.79, 'pos': 0.143, 'compound': 0.963}",0.012333965844402278,0.963,0.8196,-0.1761,0.883,0.4404,0.01098901098901099,0.015197568389057751,0.00684931506849315,0.028985507246376812,1054
12,FDA Approval - Omnipod 5,01/31/2022,Julie De Vos,Omnipod 5 has just been approved by the FDA and we plan on interviewing Insulet to discuss the new system.,"I was very excited to read about this, as the tubeless aspect has been the biggest thing from me pursuing a hybrid closed loop.","It would be interesting to know what target range the automatic algorithm was approved for (i.e. 130, 120, lower?).",My understanding is you can use it with certain phones basic functions or a controller. Also understand its a pharmacy item not durable medical equipment. The juice box podcast had omnipod people on explaining it.,02-02-2022,2,3,Positive,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.902}",0.0071301247771836,0.902,0.4215,0.4005,0.6705,0.2732,0.009433962264150943,0.007874015748031496,0.008695652173913044,0.004694835680751174,561
13,What to do about tubing,01/27/2022,skessdtrek,"So I use omnipod, but thinking about switching to tslim for control IQ, but in past (and biggest hesitancy for leaving omnipod) I had a lot of trouble with snagging the tubing. Went through forums here and didn’t see anything specifically addressing it, so thought I’d ask - how do you prevent snags from the tubing (particularly if you are clumsy like me)?","First of all, think about what length tubing you want. I happen to use a Medtronic pump, and I also use a few different types of infusion sets. But I also use different length tubing at various times. I usually use 23"" tubing. This is pretty short, and doesn't leave much to get snagged",I also use a Medtronic. I keep my pump in my pocket and find the 23” tubing to short - can’t lower my pants without removing the pump and have pulled it off the bathroom vanity many time while using the sink. I much prefer the 46” tubing which I often roll around the pump to keep it from getting snagged when walking about.,"some of the Medtronic infusion sets also come in 32"". But I know exactly what you're talking about.",01/28/2022,1,20,Neutral,"{'neg': 0.057, 'neu': 0.884, 'pos': 0.059, 'compound': -0.1724}",0.014071294559099437,-0.1724,-0.3612,0.688,-0.4767,0.0,0.008403361344537815,0.017482517482517484,0.021604938271604937,0.010101010101010102,1066
14,Omnipod problems?,05/23/2020,songdog,I was speaking with my Endo about pumps. Asked him about Omnipod. He said a number of his patients were having issues with their injection sites closing up and the pod not lasting 3 days. He said it's significant enough that he has communicated his concerns to the company. Can anyone comment?,I used it for 4 years constant occlusions nice to wear but wasn't reliable enough. Switched to tslim use steel infusion sets ( not an option with omnipod ) no problem.,I have been using them for 4 years and have had 2 PDM failures and dozens of pump failures. Tubeless feature is the only good thing about them. Weekly comm failures while priming and activating/deactivating.,"Been using omnipod for 10-11 years now. I’d estimate about 1-2% failure rate over that time (defined as any pod error which can be after wearing for any period of time, or errors that prevent actually using the pod to begin with). It doesn’t seem to have been any better or worse now compared to 10 yrs ago.",05/24/2020,1,7,Negative,"{'neg': 0.155, 'neu': 0.777, 'pos': 0.068, 'compound': -0.9672}",0.008213552361396304,-0.9672,0.2732,-0.6652,-0.7269,-0.8176,0.006825938566552901,0.011976047904191617,0.00966183574879227,0.006514657980456026,974
15,Which pump,10/26/2021,Richard90,I have no issues with the 670. Nice to have something different. I am hoping the 780 will be available when my warranty ends February 20 2022. If not not then the Tslim I do have a Tslim that was my mother’s so good backup. There are things like set change that Medtronic is much faster and easier. There are several things I read I don’t like and things I do like. The 780 will have the G4 and I think calibration is once a week or no calibration. Having a hard time deciding but I have few months to decide just hate to be stuck with a pump that I don’t like for 4years ,"I;m on the 770G, patiently awaiting the 780 approval. While less calibrations will be nice, I'm more excited about a more aggressive Auto mode, lowering the Target another 10 points or so. I don't think I'll ever trust any CGM 100% anyway, despite the fact that the Guardian3 is very accurate for me.","I've used omnipod, omnipod and g4, and tslim with g5 and currently with g6. Tslim is a god fit for me. I trialled the Medtronic sensor and wasn't impressed fell off looked poorly designed","Having used Medtronic pumps since the 506 was the only option, I have just recently changed to Tandem since the smallest Medtronic pump was 1) too big, and 2) won't work with Dexcom. These new device and products are excellent and work well with each other and for me. ",10/30/2021,4,9,Positive,"{'neg': 0.074, 'neu': 0.758, 'pos': 0.168, 'compound': 0.9774}",0.015060240963855422,0.9774,0.386,0.8402,0.2607,0.7003,0.02097902097902098,0.016666666666666666,0.0106951871657754,0.0037174721189591076,1328
16,"Blocked line, no delivery",11/30/2021,Lolee,I've been type 1 diabetic for 35 years and. a pump user for about 12. I've recently been getting a message on my 670 that its blocked and not delivering insulin. After some serious highs and multiple set changes a day I'm lost. Anyone have any idea why this is happening?,"What brand is your pump? That will help people here to work out if they can help or not. In the meantime, can you contact the help line for the company that made it?","Is that a Medtronic 670G? - can you contact Medtronic to discuss? Do you have the literature that came with it, because there are PDF's on the Medtronic site that might help.","What infusion sets are you using, and are you inserting manually, or using an inserter?",12-03-2021,3,4,Positive,"{'neg': 0.043, 'neu': 0.888, 'pos': 0.069, 'compound': 0.6553}",0.007173601147776184,0.6553,-0.5719,0.8156,0.4696,0.0,0.01845018450184502,0.0,0.0,0.0,697
17,No more large reservoirs?,11-07-2021,NHCindy,"The warranty on my T:Flex is up and my pump is failing fast. I use an average of 150 units a day (Type 2). My T:Flex is able to hold 480 units. My last Medtronic pump was over 700 units (a long time ago.) The size of reservoirs available now pale in comparison. Cost wise I might as well go back to daily shots. Before pumping, I was taking 12 shots a day, so I would still prefer to pump. My options for large reservoirs are no longer an option so I am doomed to replacing pods/cartridges/reservoirs whatever I choose almost daily.","If you're taking close to 300 units a day, you probably should be considering moving to U-500 insulin.","The first Medtronic Pump was 300 units, which was the one available when I began wearing one in 1990, this was the only size reservoir available. Later when the Paradigm was an option the 180 unit reservoir became an option. ","U-500 can be used in a pump. There's no setting for it, so you just need to manually convert everything. If you want a basal rate of 5 unit/hr, you'd set the pump for 1 unit/hr if using U-500 instead of U-100. And if you want to administer a bolus of 25 units of U-500, you'd tell the pump to give you 5 units. The pump doesn't know that the fluid in the reservoir has 5 times the concentration of insulin, but you do.",11-09-2021,2,10,Negative,"{'neg': 0.035, 'neu': 0.939, 'pos': 0.026, 'compound': -0.4921}",0.009397024275646046,-0.4921,-0.6983,0.0,0.0,-0.0772,0.020676691729323307,0.0,0.0044444444444444444,0.0,1277
18,How to delete data from pump?,10/14/2021,HighHopes,My 670G was recalled and I got a replacement pump. I have to return the defective one. Does anyone know how to delete my info from the device?,Deleting the data really isn’t necessary. They replaced the pump. Just pull out the battery and ship it back.,"I just got a 670g replacement pump and didn’t delete data on my returning pump. However, try Options, Utilities, and Manage Settings. Once there, press the back arrow key and right arrow button simultaneously and you’ll get to the screen where you can clear data.","It’s pretty simple to remove the clip so try again. Unless the clip is broken, you’ll get it.",10/17/2021,3,15,Neutral,"{'neg': 0.054, 'neu': 0.894, 'pos': 0.052, 'compound': -0.0516}",0.009884678747940691,-0.0516,-0.4404,0.0,0.3818,0.0258,0.028169014084507043,0.0,0.0076045627376425855,0.0,607
19,New Member - Long Term Type 1 on Medtronic Insulin Pump,09/28/2021,DDPLady1,"If you take you blood glucose reading and divide it by the ISIG found in the Sensor prompt you will come up with a value which must fall between a certain range of numbers. The answer must be between 3 and 8.33 in order for the sensor to calibrate for those on the Medtronic 670G insulin pump. Recently, my long-term endo retired, and I now have a new endo who has prescribed at T-Slim pump with a Dexcom Sensor.","I will be going on the T-Slim with the Dexcom Sensor very soon. If you have tips for me, drop me some tips. I haven't been to training yet, but I did get to use the Dexcom with my Medtronic's pump to try it out back in July. I loved it. I hear it will be great with the new T-Slim. I'll have to report back on it after use.",You found a good place where people do care.,I’m on Medtronic too and plan to switch to T-Slim and Dexcom like you. Have you switched yet? I hope you post an update.,10-01-2021,3,18,Positive,"{'neg': 0.008, 'neu': 0.856, 'pos': 0.136, 'compound': 0.9768}",0.012235817575083427,0.9768,0.5423,0.9091,0.7269,0.6597,0.0048543689320388345,0.021671826625386997,0.0,0.016666666666666666,899
20,"Is the pod in the ""Experience Kit"" a real pod?",07/28/2021,SteveMann,"When I was considering the Omnipod for my insulin delivery, Insulet sent me an ""Experience Kit"" which contains a pod. The kit is supposed to familiarize the user with wearing the pod. However, I can't tell the demo pod (which I never wore) from a new one, except for the tiny word ""demo"" on the pod. Is it a usable pod?","Sorry, have no idea, but can you ask Insulet?",No according to Omnipod it has no canula or the hardware to insert it. I expect there is no innards in the demo pod ether.,The demo pod is a real pod but is NOT usable at all. It is designed to try on to see if you like the feel of it and if the adhesive causes skin issues and stay son the up to three 3 days if you want to test that. The look and the shell are exactly the same though. Hope you like it. There are several of us podders on here that can answer any questions that you might have.,08-01-2021,4,11,Positive,"{'neg': 0.041, 'neu': 0.89, 'pos': 0.069, 'compound': 0.7149}",0.008149010477299184,0.7149,0.0,-0.1901,-0.6808,0.8957,0.01567398119122257,0.0,0.00819672131147541,0.002680965147453083,859
21,Pump advice Canada,04/15/2018,jodoog,"Hey, I'm sure this gets asked a lot but was hoping for some pump-choice advice.
I'm a Type 1 (23 years roughly) located in Canada and recently started using a Dexcom G5 with Xdrip+; which I'm appreciating so far (minus the interstitial delay). I've decided to go ahead with a pump as it's mostly covered here in Ontario. Really struggling trying to decide between the Omnipod, and waiting a few months for the T:Slim x2. It mainly seems to be a case of G5 integration vs tubeless but it's hard to value either given I've never used a pump before (novorapid + tresiba atm).
For those that have used either pump do you have any suggestions? Is the G5 integration on the Tandem particularly useful? The PLGS Tandem system sounds like it could be fantastic given the number of hypos I have - assuming it's ever brought to Canadian T-slims.
For reference my last HbA1c was 5.4. However I currently use a lot of insulin and an enormous amount of sugar to aggressively ping-pong my blood sugar into a 4-7 range. My insulin sensitivity seems to change significantly day-by-day; however I feel awful when my BS exits that range and try to avoid it at all costs (although it happens plenty).
Any advice would be much appreciated. Thanks! :)","Before my transplant I had a medtronic pump that I loved. But last year at FFL (friends for life T1 conference) I saw so many pods I decided that when it was time to pump again that I would have a serious look at the pod.
The advice I always give is to talk to all the representatives and see who gives better service in your area. That ends up being pretty important in the long run",,,04/18/2018,3,16,Positive,"{'neg': 0.053, 'neu': 0.788, 'pos': 0.159, 'compound': 0.989}",0.012353304508956145,0.989,0.9768,0.9072,0.0,0.0,0.01056910569105691,0.018276762402088774,0.0,0.0,1619
22,I am officially a PUMPER,03/19/2018,Diabeteshealth1,"As of 1:00 today I am pumping with all my other fellow type 1 . I cried driving home, because I realized that I now have ownership of my diabetes. The 670g is great I did a lot of reading and watching Youtube to help me prepare before pump training. The strangest part is knowing that I have to shower with the sensor on me as well has the thing that attaches to the pump. Do you guys find that to be odd? I am sure I will get used to it. I like how I will know my readings very quickly and only have to test 3 times a day compared to my 10 times now. My carb to ratio is 1 unit of insulin to 13 grams of carb taking .43 units an hour. Using bolus wizard.","Congratulations! I assume you're not using Auto mode yet, but please keep us informed as/if you do.
As far as the attachments, yeah, you get used to it. But, you may want to take a look at this thread:",Good for you!,Congrats many love their pump.,03/21/2018,2,17,Positive,"{'neg': 0.019, 'neu': 0.841, 'pos': 0.141, 'compound': 0.9644}",0.018909899888765295,0.9644,0.8316,0.8908,0.4926,0.8225,0.022900763358778626,0.009950248756218905,0.0,0.0,899
23,Omnipod vs. Medtronic 670g system,03/16/2018,Jeff1318,I have been using the Omnipod system for about 8 years now but I might have to go back to a traditional pump system because of insurance coverage. I was hoping to get some pros and cons of the Medtronic 670g system compared to the Omnipods. I am really having a hard time wrapping my head around making the switch.,"If insurance won't cover omnipod for you, why are you asking? It seems like you're just looking for torture (or financial woes). I'm thinking you need to run with what insurance will cover.","m asking so that I can get as much information as I can so I can make an informed decision when I know for sure if my insurance will cover the Omnipod supplies. And if they don't cover them, how the Medtronic 670g system compares to what I've been using.","Never used an Omnipod so can’t compare them. However, I have used Medtronic products for over eight years - currently using the 670G for two months. All I can say is that it alarms a lot and requires five or six BG tests a day. But that is for your safety.",03/18/2018,2,20,Positive,"{'neg': 0.052, 'neu': 0.877, 'pos': 0.071, 'compound': 0.5548}",0.01579466929911155,0.5548,0.3984,-0.34,0.3182,0.4854,0.01910828025477707,0.005291005291005291,0.023622047244094488,0.01171875,1013
